"","n","nevent","coef","se","hazard_ratio","hr_confint_lower","hr_confint_upper","p_value","p_adjusted"
"B_cells_assort",69,54,-0.06731056,0.1565731,0.934904808913152,0.68784744654431,1.27069891168468,0.667269371052354,0.939500158717015
"M2_macrophages_region",69,54,0.07258783,0.1805079,1.07528724286067,0.754876481196432,1.53169781210606,0.687587585528458,0.939500158717015
"Monocytes_M1_contact",69,54,-0.05517118,0.1381706,0.946323146652923,0.721819139784636,1.24065357723582,0.689674109850056,0.939500158717015
"CD56+CD45-_region",69,54,0.05361304,0.1390419,1.05507625514372,0.803398785514923,1.38559570195842,0.699800987444864,0.939500158717015
"Tumor_M1_med_dist",68,54,-0.05763588,0.1495986,0.943993614989066,0.704093705343284,1.2656325974476,0.70003734735108,0.939500158717015
"Tumor_assort",69,54,0.05030682,0.1307193,1.05159370127137,0.813915846424076,1.35867770287574,0.700351383005591,0.939500158717015
"Tumor_vascular_med_dist",68,53,-0.05203856,0.1360746,0.949292260134738,0.727064699813979,1.23944374604115,0.702144811806907,0.939500158717015
"CD11c_low_immune_region",69,54,-0.04902011,0.1356074,0.952161980458282,0.729930638263844,1.24205286023702,0.717736564538631,0.939500158717015
"Other_immune_assort",69,54,-0.05352125,0.1484863,0.947885794868972,0.708539847328582,1.2680832044972,0.71851376164267,0.939500158717015
"CD11b_low_Neutrophils_tumor_med_dist",63,49,0.04638819,0.1289132,1.04748095813226,0.813607726912452,1.34858153549437,0.718966287649648,0.939500158717015
"Unidentified_region",69,54,-0.04696961,0.1325228,0.9541163891878,0.73586436807404,1.23710037285726,0.723019085159803,0.939500158717015
"Unidentified_prop",69,54,0.04392961,0.1271759,1.04490880140776,0.814378037845555,1.34069725915971,0.729775652690372,0.939500158717015
"Monocytes_assort",69,54,0.04697021,0.1390331,1.04809078180792,0.798093399569826,1.37639816029404,0.735487741541999,0.939500158717015
"CD11c+_epithelial_region",69,54,0.0415468,0.1249002,1.04242194590874,0.816071651388846,1.33155405099888,0.739406088344925,0.939500158717015
"Dendritic_cells_vascular_med_dist",26,21,-0.07503639,0.2312876,0.927709723371916,0.589575975344238,1.45977001579192,0.745613265529101,0.939500158717015
"CD11c_low_immune_assort",69,54,-0.04629577,0.1428968,0.954759531112085,0.721539296789651,1.26336260035344,0.745952907182248,0.939500158717015
"CD8+_T_cells_vascular_contact",69,54,-0.04330411,0.1344504,0.957620121396497,0.735781582384468,1.24634309808568,0.747390161769276,0.939500158717015
"Unidentified_vascular_contact",69,54,0.04777655,0.1485836,1.04893624148696,0.783925013123691,1.40353633355895,0.74779618493657,0.939500158717015
"Tumor_M1_contact",69,54,0.04773262,0.1508348,1.04889016759,0.780439489593749,1.40968082514593,0.751656125431704,0.939500158717015
"Neuroepithelial_cells_prop",69,54,0.03862571,0.1278178,1.03938137867678,0.809051609875475,1.33528397589658,0.762504554477638,0.939500158717015
"HLADR+_M1_contact",69,54,0.05077415,0.1687012,1.05208524806836,0.755878898966384,1.46436601248779,0.763436695021288,0.939500158717015
"M1_macrophages_assort",69,54,0.04476184,0.1505766,1.0457787667837,0.77851817830943,1.40478830106515,0.766260770446597,0.939500158717015
"M2_macrophages_vascular_contact",69,54,0.04400853,0.1524018,1.04499127375099,0.775153967834142,1.4087611075086,0.772760138676018,0.939500158717015
"DUSP1",69,54,-0.03855664,0.1340147,0.962177206541374,0.739914568217219,1.25120522902852,0.773572843033698,0.939500158717015
"Neutrophils_vascular_med_dist",50,37,-0.04591611,0.1658446,0.95512208155133,0.690067659108786,1.32198369047626,0.781885912254514,0.939500158717015
"HLADR+_vascular_contact",69,54,-0.03701862,0.1344432,0.963658195390147,0.740431328917334,1.25418398881157,0.78304912681799,0.939500158717015
"Lymphatic_endothelial_cells_vascular_contact",69,54,0.03979851,0.146096,1.04060107948825,0.781496647293768,1.38561132716551,0.785304195508612,0.939500158717015
"Tumor_vascular_contact",69,54,-0.03774602,0.1417363,0.962957479828744,0.729391969852483,1.27131521360958,0.789999192702035,0.939500158717015
"Non-leukocyte_derived_neural_cells_prop",69,54,0.03636551,0.1367372,1.03703482043906,0.793236002208253,1.3557645086824,0.790276328586381,0.939500158717015
"Neuroepithelial_cells_vascular_med_dist",47,38,-0.04093067,0.1589423,0.959895680728053,0.702962395567678,1.31073827517658,0.79677814874529,0.939500158717015
"CD11b_low_Neutrophils_assort",69,54,-0.03963677,0.1554388,0.961138486603518,0.708722513392607,1.30345399359249,0.79872368641251,0.939500158717015
"HLADR+_assort",69,54,0.03188694,0.1297901,1.03240077250697,0.80051740200121,1.33145307323547,0.805929344550338,0.939500158717015
"Neuroepithelial_cells_tumor_med_dist",47,38,-0.04032218,0.1657443,0.96047993750324,0.694075130529549,1.32913811454732,0.807788925412351,0.939500158717015
"Neuroepithelial_cells_region",69,54,0.03778475,0.1553339,1.03850766794068,0.765930333105551,1.40808912998485,0.807812824139399,0.939500158717015
"CD163+_cells_vascular_med_dist",67,52,0.03093443,0.1272152,1.03141787359342,0.803801636243254,1.32348925655339,0.807876666174278,0.939500158717015
"CD11c+_epithelial_tumor_contact",69,54,-0.03408513,0.1420562,0.966489228426095,0.731608140819513,1.27677834150032,0.810375943401617,0.939500158717015
"NK/NKT_vascular_contact",69,54,-0.03151328,0.137003,0.968978087069471,0.740792797394868,1.26745094785301,0.818077133093226,0.939500158717015
"CD11c+_epithelial_prop",69,54,0.03303952,0.1460054,1.03359138527743,0.776370249397929,1.37603308801204,0.820976066246604,0.939500158717015
"M2_macrophages_prop",69,54,0.02905908,0.1322763,1.0294854124436,0.794376607375058,1.33417853017641,0.826116668672354,0.939500158717015
"Unidentified_tumor_med_dist",69,54,-0.02907726,0.13243,0.971341411766,0.749285385665386,1.25920531250414,0.82620839128547,0.939500158717015
"Fibroblast_M1_contact",69,54,0.02861291,0.1310072,1.02902618809742,0.795999693414459,1.33027048194975,0.827111904758713,0.939500158717015
"Unidentified_M1_med_dist",68,54,-0.02760728,0.1344278,0.972770322724779,0.747455220517836,1.26600507267644,0.837283973860739,0.939500158717015
"CD11b_low_Neutrophils_region",69,54,-0.02836215,0.1417288,0.972036275777195,0.736279473485386,1.28328244294801,0.841390122935043,0.939500158717015
"Non-leukocyte_derived_neural_cells_tumor_med_dist",30,24,0.04142911,0.2085319,1.04229927285715,0.692611544166847,1.56853835797,0.842520623862757,0.939500158717015
"HLADR+_prop",69,54,0.02778827,0.1410415,1.02817796543026,0.779854496993693,1.35557329305862,0.843810327736578,0.939500158717015
