"","n","nevent","coef","se","hazard_ratio","hr_confint_lower","hr_confint_upper","p_value","p_adjusted"
"M2_macrophages_assort",24,19,0.1306071,0.2865716,1.13951996217162,0.64981805784036,1.99826048002289,0.648564504188238,0.966258837362923
"CD11c_low_immune_vascular_med_dist",43,35,0.07939599,0.1759961,1.08263295038768,0.766784074914869,1.52858430894677,0.651900490969447,0.966258837362923
"CD11c+_epithelial_assort",67,51,0.07177432,0.1632487,1.07441284179229,0.78021380608805,1.47954694674797,0.660181656178222,0.966258837362923
"CD4+_T_cells_region",72,57,-0.06640164,0.1514522,0.935754955066176,0.695417714225231,1.25915305005777,0.661072553626974,0.966258837362923
"Lymphatic_endothelial_cells_tumor_med_dist",30,25,0.07846524,0.1844859,1.08162575562134,0.753429045071952,1.55278626816371,0.670604576940513,0.966258837362923
"HLADR+_tumor_med_dist",51,41,0.07253067,0.1731008,1.07522578643408,0.765871716575956,1.509535431053,0.675210001375543,0.966258837362923
"Vascular_endothelial_cells_prop",76,60,-0.05066636,0.121505,0.950595770497831,0.749153138417351,1.20620507683831,0.676685848440408,0.966258837362923
"CD8+_T_cells_M1_med_dist",70,57,-0.05259365,0.127561,0.948765461994657,0.738888239422802,1.21825717861893,0.680118074816673,0.966258837362923
"Fibroblast_tumor_contact",75,59,-0.05195759,0.1268752,0.949369131865413,0.740352870088293,1.21739481935337,0.682160023288487,0.966258837362923
"CD163+_cells_vascular_contact",75,59,-0.05237411,0.1291319,0.948973778444813,0.736778476222968,1.22228222082766,0.685046725717492,0.966258837362923
"M1_macrophages_vascular_contact",75,59,-0.05019342,0.1237567,0.95104545781853,0.746207087541556,1.21211320280697,0.68505022031245,0.966258837362923
"CD11c+_epithelial_vascular_contact",69,53,0.05368706,0.1383031,1.05515435085135,0.804622495367355,1.38369323568592,0.697879848860202,0.966258837362923
"NK/NKT_tumor_contact",57,47,0.05950548,0.1535435,1.06131157229857,0.785500438737434,1.43396769491988,0.698350568273795,0.966258837362923
"Neutrophils_tumor_med_dist",56,42,0.06089714,0.1594783,1.06278959220485,0.777497752132877,1.45276525134688,0.702570935439122,0.966258837362923
"CD8+_T_cells_tumor_med_dist",71,58,-0.04617967,0.122304,0.954870387674745,0.751344423662037,1.21352794875902,0.70574188791253,0.966258837362923
"Lymphatic_endothelial_cells_M1_med_dist",30,25,-0.06260164,0.1697895,0.939317586907274,0.673422043695682,1.31019995162502,0.712350328529672,0.966258837362923
"CD11c_low_immune_M1_med_dist",43,35,-0.06001252,0.1644411,0.941752741649591,0.682282763850036,1.29989833159476,0.715149853747221,0.966258837362923
"Non-leukocyte_derived_neural_cells_vascular_med_dist",33,25,-0.0813979,0.2237457,0.921826822305653,0.594561281558758,1.42922978114941,0.716010025132183,0.966258837362923
"M2_macrophages_vascular_med_dist",36,28,-0.0669899,0.18655,0.935204647522841,0.648806238650513,1.34802608336114,0.719521091781942,0.966258837362923
"Lymphatic_endothelial_cells_vascular_contact",29,24,0.0615061,0.1772392,1.06343698731378,0.751355527757205,1.50514394878113,0.728573926290379,0.966258837362923
"Dendritic_cells_vascular_med_dist",29,25,0.07684513,0.2223412,1.07987482441262,0.698419352338688,1.66966970845718,0.729629753529175,0.966258837362923
"CD11c_low_immune_tumor_contact",43,35,-0.05842486,0.1694832,0.943249116047045,0.676646795863492,1.3148941225505,0.730302209677025,0.966258837362923
"Vascular_endothelial_cells_M1_contact",75,59,-0.04112004,0.1202666,0.959713920211469,0.758177087481828,1.21482279516887,0.732420649334876,0.966258837362923
"Fibroblast_M1_contact",74,58,-0.0422314,0.1240112,0.958647927872227,0.751797025951241,1.22241219091138,0.733446154203161,0.966258837362923
"NK/NKT_assort",46,38,0.05373838,0.1634495,1.05520850528328,0.76596653203729,1.45367316070666,0.742324536321192,0.966258837362923
"M2_macrophages_M1_contact",36,28,-0.06204013,0.1940128,0.939845172603481,0.642557985066736,1.37467585648994,0.749140127789121,0.966258837362923
"CD11b_low_Neutrophils_region",71,56,0.04603013,0.1514579,1.04710596008533,0.778160915804663,1.40900277741712,0.761193677405032,0.966258837362923
"CD11b_low_Neutrophils_M1_med_dist",71,56,0.0459665,0.1513516,1.04703933244299,0.778273548187471,1.40861958656545,0.761351357643143,0.966258837362923
"CD56+CD45-_vascular_contact",41,31,0.05246863,0.1737695,1.05386949696857,0.749676641595445,1.48149329326462,0.762694877409291,0.966258837362923
"M2_macrophages_M1_med_dist",36,28,0.05349562,0.1853117,1.054952372044,0.733660653299327,1.51694724567328,0.772826960139048,0.966258837362923
"CD11c_low_immune_assort",30,23,-0.05999419,0.2116054,0.941770005973817,0.622051029632609,1.42581669654298,0.776778880027066,0.966258837362923
"HLADR+_M1_med_dist",50,40,0.0520645,0.1902356,1.05344368267594,0.72557535372033,1.52946704553804,0.784327204257088,0.966258837362923
"B_cells_tumor_contact",61,50,0.04115113,0.1599334,1.04200957699746,0.761616163859194,1.42563145331978,0.796945888765286,0.966258837362923
"CD163+_cells_vascular_med_dist",75,59,-0.03389643,0.1338737,0.966671618986665,0.743576116076506,1.25670257388708,0.800115993066832,0.966258837362923
"Tumor_vascular_contact",76,60,-0.03174326,0.1260486,0.968755270704165,0.756695734339272,1.24024324695918,0.801169831766308,0.966258837362923
"Non-leukocyte_derived_neural_cells_tumor_contact",33,25,0.05624967,0.2252711,1.05786176718449,0.680264510528312,1.64505350661552,0.802821154814063,0.966258837362923
"Vascular_endothelial_cells_assort",76,60,0.03522916,0.1431158,1.03585705382901,0.782491111242746,1.37126137351668,0.805559661307575,0.966258837362923
